"Local Code","Age Group","Population","# of population with at least 1 dose","Percent of population who received at least one dose","# of population fully immunized","Percent of population fully immunized","Alberta: percent of population who received at least one dose","Alberta: percent of population fully immunized","Local Name","Zone Name"
"Z2.5.B.02","60-74 years",2059,1785,86.7,1674,81.3,92,88.4,"BLACK DIAMOND","CALGARY"
"Z2.5.B.02","75+ years",694,629,90.6,616,88.7,92.4,90.6,"BLACK DIAMOND","CALGARY"
"Z2.5.B.02","ALL years",8769,5585,63.7,4888,55.7,70.8,62.9,"BLACK DIAMOND","CALGARY"
"Z2.5.B.03","12-19 years",2414,1604,66.4,1290,53.4,76.3,64.5,"HIGH RIVER","CALGARY"
"Z2.5.B.03","12+ years",20713,15751,76,14000,67.6,83.2,74,"HIGH RIVER","CALGARY"
"Z2.5.B.03","20-39 years",5187,3290,63.4,2604,50.2,74.9,63.3,"HIGH RIVER","CALGARY"
"Z2.5.B.03","40-59 years",6088,4590,75.4,4077,67,83.2,75.6,"HIGH RIVER","CALGARY"
"Z2.5.B.03","60-74 years",4743,4063,85.7,3881,81.8,92,88.4,"HIGH RIVER","CALGARY"
"Z2.5.B.03","75+ years",2280,2138,93.8,2106,92.4,92.4,90.6,"HIGH RIVER","CALGARY"
"Z2.5.B.03","ALL years",23739,15751,66.4,14000,59,70.8,62.9,"HIGH RIVER","CALGARY"
"Z2.5.C.04","12-19 years",470,281,59.8,216,46,76.3,64.5,"CLARESHOLM","CALGARY"
"Z2.5.C.04","12+ years",5562,4153,74.7,3689,66.3,83.2,74,"CLARESHOLM","CALGARY"
"Z2.5.C.04","20-39 years",1255,735,58.6,566,45.1,74.9,63.3,"CLARESHOLM","CALGARY"
"Z2.5.C.04","40-59 years",1509,1069,70.8,917,60.8,83.2,75.6,"CLARESHOLM","CALGARY"
"Z2.5.C.04","60-74 years",1510,1309,86.7,1257,83.3,92,88.4,"CLARESHOLM","CALGARY"
"Z2.5.C.04","75+ years",818,739,90.3,719,87.8,92.4,90.6,"CLARESHOLM","CALGARY"
"Z2.5.C.04","ALL years",6246,4153,66.5,3689,59.1,70.8,62.9,"CLARESHOLM","CALGARY"
"Z2.5.C.05","12-19 years",717,297,41.5,226,31.5,76.3,64.5,"VULCAN","CALGARY"
"Z2.5.C.05","12+ years",5829,3748,64.3,3308,56.8,83.2,74,"VULCAN","CALGARY"
"Z2.5.C.05","20-39 years",1471,686,46.6,526,35.7,74.9,63.3,"VULCAN","CALGARY"
"Z2.5.C.05","40-59 years",1513,978,64.6,818,54,83.2,75.6,"VULCAN","CALGARY"
"Z2.5.C.05","60-74 years",1470,1203,81.9,1171,79.7,92,88.4,"VULCAN","CALGARY"
"Z2.5.C.05","75+ years",658,571,86.8,558,84.9,92.4,90.6,"VULCAN","CALGARY"
"Z2.5.C.05","ALL years",6775,3748,55.3,3308,48.8,70.8,62.9,"VULCAN","CALGARY"
"Z2.6.A.01","12-19 years",7732,6325,81.8,5415,70,76.3,64.5,"AIRDRIE","CALGARY"
"Z2.6.A.01","12+ years",59566,49717,83.5,44259,74.3,83.2,74,"AIRDRIE","CALGARY"
"Z2.6.A.01","20-39 years",21827,16334,74.8,13694,62.7,74.9,63.3,"AIRDRIE","CALGARY"
"Z2.6.A.01","40-59 years",19629,16750,85.3,15334,78.1,83.2,75.6,"AIRDRIE","CALGARY"
"Z2.6.A.01","60-74 years",8273,7944,96,7613,92,92,88.4,"AIRDRIE","CALGARY"
"Z2.6.A.01","75+ years",2105,1955,92.9,1948,92.5,92.4,90.6,"AIRDRIE","CALGARY"
"Z2.6.A.01","ALL years",73698,49717,67.5,44259,60.1,70.8,62.9,"AIRDRIE","CALGARY"
"Z2.6.B.02","12-19 years",2919,2448,83.9,2142,73.4,76.3,64.5,"CHESTERMERE","CALGARY"
"Z2.6.B.02","12+ years",21021,18212,86.6,16536,78.7,83.2,74,"CHESTERMERE","CALGARY"
"Z2.6.B.02","20-39 years",6459,5141,79.6,4444,68.8,74.9,63.3,"CHESTERMERE","CALGARY"
"Z2.6.B.02","40-59 years",7138,6209,87,5703,79.9,83.2,75.6,"CHESTERMERE","CALGARY"
"Z2.6.B.02","60-74 years",3422,3216,94,3111,90.9,92,88.4,"CHESTERMERE","CALGARY"
"Z2.6.B.02","75+ years",1083,1066,98.4,1039,95.9,92.4,90.6,"CHESTERMERE","CALGARY"
"Z2.6.B.02","ALL years",25015,18212,72.8,16536,66.1,70.8,62.9,"CHESTERMERE","CALGARY"
"Z2.6.C.03","12-19 years",4133,3037,73.5,2428,58.7,76.3,64.5,"STRATHMORE","CALGARY"
"Z2.6.C.03","12+ years",30184,23679,78.4,20747,68.7,83.2,74,"STRATHMORE","CALGARY"
"Z2.6.C.03","20-39 years",8831,6002,68,4859,55,74.9,63.3,"STRATHMORE","CALGARY"
"Z2.6.C.03","40-59 years",9944,7892,79.4,7051,70.9,83.2,75.6,"STRATHMORE","CALGARY"
"Z2.6.C.03","60-74 years",5378,4808,89.4,4563,84.8,92,88.4,"STRATHMORE","CALGARY"
"Z2.6.C.03","75+ years",1897,1755,92.5,1722,90.8,92.4,90.6,"STRATHMORE","CALGARY"
"Z2.6.C.03","ALL years",35685,23679,66.4,20747,58.1,70.8,62.9,"STRATHMORE","CALGARY"
"Z2.6.C.04","12-19 years",876,563,64.3,450,51.4,76.3,64.5,"CROSSFIELD","CALGARY"
"Z2.6.C.04","12+ years",7908,5532,70,4902,62,83.2,74,"CROSSFIELD","CALGARY"
"Z2.6.C.04","20-39 years",2232,1284,57.5,1025,45.9,74.9,63.3,"CROSSFIELD","CALGARY"
"Z2.6.C.04","40-59 years",2574,1815,70.5,1609,62.5,83.2,75.6,"CROSSFIELD","CALGARY"
"Z2.6.C.04","60-74 years",1743,1427,81.8,1382,79.3,92,88.4,"CROSSFIELD","CALGARY"
"Z2.6.C.04","75+ years",482,412,85.4,413,85.6,92.4,90.6,"CROSSFIELD","CALGARY"
"Z2.6.C.04","ALL years",9164,5532,60.4,4902,53.5,70.8,62.9,"CROSSFIELD","CALGARY"
"Z2.6.C.05","12-19 years",1656,950,57.4,760,45.9,76.3,64.5,"DIDSBURY","CALGARY"
"Z2.6.C.05","12+ years",14099,9988,70.8,8745,62,83.2,74,"DIDSBURY","CALGARY"
"Z2.6.C.05","20-39 years",3607,2015,55.9,1568,43.5,74.9,63.3,"DIDSBURY","CALGARY"
"Z2.6.C.05","40-59 years",4440,3082,69.4,2681,60.4,83.2,75.6,"DIDSBURY","CALGARY"
"Z2.6.C.05","60-74 years",3217,2750,85.5,2583,80.3,92,88.4,"DIDSBURY","CALGARY"
"Z2.6.C.05","75+ years",1178,1124,95.4,1106,93.9,92.4,90.6,"DIDSBURY","CALGARY"
"Z2.6.C.05","ALL years",16475,9988,60.6,8745,53.1,70.8,62.9,"DIDSBURY","CALGARY"
"Z2.7.A.01","12-19 years",5229,4170,79.7,3639,69.6,76.3,64.5,"COCHRANE-SPRINGBANK","CALGARY"
"Z2.7.A.01","12+ years",43490,36467,83.9,33455,76.9,83.2,74,"COCHRANE-SPRINGBANK","CALGARY"
"Z2.7.A.01","20-39 years",12307,9307,75.6,7998,65,74.9,63.3,"COCHRANE-SPRINGBANK","CALGARY"
"Z2.7.A.01","40-59 years",13975,11663,83.5,10842,77.6,83.2,75.6,"COCHRANE-SPRINGBANK","CALGARY"
"Z2.7.A.01","60-74 years",9234,8434,91.3,8168,88.5,92,88.4,"COCHRANE-SPRINGBANK","CALGARY"
"Z2.7.A.01","75+ years",2744,2651,96.6,2645,96.4,92.4,90.6,"COCHRANE-SPRINGBANK","CALGARY"
"Z2.7.A.01","ALL years",50816,36467,71.8,33455,65.8,70.8,62.9,"COCHRANE-SPRINGBANK","CALGARY"
"Z2.7.B.02","12-19 years",2491,2294,92.1,1898,76.2,76.3,64.5,"CANMORE","CALGARY"
"Z2.7.B.02","12+ years",24091,21136,87.7,18690,77.6,83.2,74,"CANMORE","CALGARY"
"Z2.7.B.02","20-39 years",8313,6704,80.6,5475,65.9,74.9,63.3,"CANMORE","CALGARY"
"Z2.7.B.02","40-59 years",7614,6613,86.8,6021,79.1,83.2,75.6,"CANMORE","CALGARY"
"Z2.7.B.02","60-74 years",4475,4249,94.9,4066,90.9,92,88.4,"CANMORE","CALGARY"
"Z2.7.B.02","75+ years",1197,1150,96.1,1147,95.8,92.4,90.6,"CANMORE","CALGARY"
"Z2.7.B.02","ALL years",27674,21136,76.4,18690,67.5,70.8,62.9,"CANMORE","CALGARY"
"Z2.7.B.03","12-19 years",697,597,85.7,477,68.5,76.3,64.5,"BANFF","CALGARY"
"Z2.7.B.03","12+ years",12678,9614,75.8,8171,64.4,83.2,74,"BANFF","CALGARY"
"Z2.7.B.03","20-39 years",7720,5313,68.8,4236,54.9,74.9,63.3,"BANFF","CALGARY"
"Z2.7.B.03","40-59 years",2933,2473,84.3,2249,76.7,83.2,75.6,"BANFF","CALGARY"
"Z2.7.B.03","60-74 years",1035,938,90.7,925,89.4,92,88.4,"BANFF","CALGARY"
"Z2.7.B.03","75+ years",294,268,91.2,270,91.9,92.4,90.6,"BANFF","CALGARY"
"Z2.7.B.03","ALL years",13451,9614,71.5,8171,60.7,70.8,62.9,"BANFF","CALGARY"
"Z3.1.A.01","12-19 years",2146,1030,48,762,35.5,76.3,64.5,"ROCKY MOUNTAIN HOUSE","CENTRAL"
"Z3.1.A.01","12+ years",17407,11090,63.7,9396,54,83.2,74,"ROCKY MOUNTAIN HOUSE","CENTRAL"
"Z3.1.A.01","20-39 years",5146,2480,48.2,1811,35.2,74.9,63.3,"ROCKY MOUNTAIN HOUSE","CENTRAL"
"Z3.1.A.01","40-59 years",5256,3439,65.4,2898,55.1,83.2,75.6,"ROCKY MOUNTAIN HOUSE","CENTRAL"
"Z3.1.A.01","60-74 years",3511,2906,82.8,2740,78,92,88.4,"ROCKY MOUNTAIN HOUSE","CENTRAL"
"Z3.1.A.01","75+ years",1348,1196,88.7,1163,86.3,92.4,90.6,"ROCKY MOUNTAIN HOUSE","CENTRAL"
"Z3.1.A.01","ALL years",20389,11090,54.4,9396,46.1,70.8,62.9,"ROCKY MOUNTAIN HOUSE","CENTRAL"
"Z3.1.B.02","12-19 years",1821,920,50.5,597,32.8,76.3,64.5,"DRAYTON VALLEY","CENTRAL"
"Z3.1.B.02","12+ years",15370,9491,61.8,7832,51,83.2,74,"DRAYTON VALLEY","CENTRAL"
"Z3.1.B.02","20-39 years",4752,2213,46.6,1607,33.8,74.9,63.3,"DRAYTON VALLEY","CENTRAL"
"Z3.1.B.02","40-59 years",4830,2989,61.9,2475,51.2,83.2,75.6,"DRAYTON VALLEY","CENTRAL"
"Z3.1.B.02","60-74 years",2905,2414,83.1,2245,77.3,92,88.4,"DRAYTON VALLEY","CENTRAL"
"Z3.1.B.02","75+ years",1062,917,86.4,884,83.2,92.4,90.6,"DRAYTON VALLEY","CENTRAL"
"Z3.1.B.02","ALL years",18075,9491,52.5,7832,43.3,70.8,62.9,"DRAYTON VALLEY","CENTRAL"
"Z3.2.A.01","12-19 years",633,281,44.4,227,35.9,76.3,64.5,"SUNDRE","CENTRAL"
"Z3.2.A.01","12+ years",6039,3838,63.6,3400,56.3,83.2,74,"SUNDRE","CENTRAL"
"Z3.2.A.01","20-39 years",1424,647,45.4,469,32.9,74.9,63.3,"SUNDRE","CENTRAL"
"Z3.2.A.01","40-59 years",1767,1089,61.6,930,52.6,83.2,75.6,"SUNDRE","CENTRAL"
"Z3.2.A.01","60-74 years",1587,1265,79.7,1234,77.7,92,88.4,"SUNDRE","CENTRAL"
"Z3.2.A.01","75+ years",628,549,87.4,538,85.6,92.4,90.6,"SUNDRE","CENTRAL"
"Z3.2.A.01","ALL years",6782,3838,56.6,3400,50.1,70.8,62.9,"SUNDRE","CENTRAL"
"Z3.2.A.02","12-19 years",1159,775,66.9,580,50,76.3,64.5,"OLDS","CENTRAL"
"Z3.2.A.02","12+ years",10997,8328,75.7,7326,66.6,83.2,74,"OLDS","CENTRAL"
"Z3.2.A.02","20-39 years",3171,2036,64.2,1613,50.9,74.9,63.3,"OLDS","CENTRAL"
"Z3.2.A.02","40-59 years",3112,2350,75.5,2042,65.6,83.2,75.6,"OLDS","CENTRAL"
"Z3.2.A.02","60-74 years",2231,1974,88.5,1909,85.6,92,88.4,"OLDS","CENTRAL"
"Z3.2.A.02","75+ years",1324,1168,88.2,1163,87.9,92.4,90.6,"OLDS","CENTRAL"
"Z3.2.A.02","ALL years",12597,8328,66.1,7326,58.2,70.8,62.9,"OLDS","CENTRAL"
"Z3.2.B.03","12-19 years",1470,904,61.5,704,47.9,76.3,64.5,"INNISFAIL","CENTRAL"
"Z3.2.B.03","12+ years",14040,10972,78.2,9605,68.4,83.2,74,"INNISFAIL","CENTRAL"
"Z3.2.B.03","20-39 years",3792,2480,65.4,1941,51.2,74.9,63.3,"INNISFAIL","CENTRAL"
"Z3.2.B.03","40-59 years",4159,3329,80,2885,69.4,83.2,75.6,"INNISFAIL","CENTRAL"
"Z3.2.B.03","60-74 years",3187,2880,90.4,2742,86,92,88.4,"INNISFAIL","CENTRAL"
"Z3.2.B.03","75+ years",1432,1348,94.2,1308,91.4,92.4,90.6,"INNISFAIL","CENTRAL"
"Z3.2.B.03","ALL years",15939,10972,68.8,9605,60.3,70.8,62.9,"INNISFAIL","CENTRAL"
"Z3.2.C.04","12-19 years",2739,1646,60.1,1237,45.2,76.3,64.5,"RED DEER COUNTY","CENTRAL"
"Z3.2.C.04","12+ years",24510,16158,65.9,13807,56.3,83.2,74,"RED DEER COUNTY","CENTRAL"
"Z3.2.C.04","20-39 years",8731,4693,53.7,3581,41,74.9,63.3,"RED DEER COUNTY","CENTRAL"
"Z3.2.C.04","40-59 years",7394,5039,68.2,4377,59.2,83.2,75.6,"RED DEER COUNTY","CENTRAL"
"Z3.2.C.04","60-74 years",4347,3550,81.7,3401,78.2,92,88.4,"RED DEER COUNTY","CENTRAL"
"Z3.2.C.04","75+ years",1299,1163,89.5,1159,89.2,92.4,90.6,"RED DEER COUNTY","CENTRAL"
"Z3.2.C.04","ALL years",29495,16158,54.8,13807,46.8,70.8,62.9,"RED DEER COUNTY","CENTRAL"
"Z3.2.C.05","12-19 years",1853,1059,57.1,810,43.7,76.3,64.5,"SYLVAN LAKE","CENTRAL"
"Z3.2.C.05","12+ years",15072,9846,65.3,8348,55.4,83.2,74,"SYLVAN LAKE","CENTRAL"
"Z3.2.C.05","20-39 years",5654,2948,52.1,2225,39.4,74.9,63.3,"SYLVAN LAKE","CENTRAL"
"Z3.2.C.05","40-59 years",4664,3259,69.9,2833,60.7,83.2,75.6,"SYLVAN LAKE","CENTRAL"
"Z3.2.C.05","60-74 years",2283,1952,85.5,1883,82.5,92,88.4,"SYLVAN LAKE","CENTRAL"
"Z3.2.C.05","75+ years",617,568,92.1,560,90.8,92.4,90.6,"SYLVAN LAKE","CENTRAL"
"Z3.2.C.05","ALL years",18013,9846,54.7,8348,46.3,70.8,62.9,"SYLVAN LAKE","CENTRAL"
"Z3.3.A.01","12-19 years",1125,578,51.4,415,36.9,76.3,64.5,"THREE HILLS/HIGHWAY 21","CENTRAL"
"Z3.3.A.01","12+ years",9283,6110,65.8,5229,56.3,83.2,74,"THREE HILLS/HIGHWAY 21","CENTRAL"
"Z3.3.A.01","20-39 years",2484,1337,53.8,1046,42.1,74.9,63.3,"THREE HILLS/HIGHWAY 21","CENTRAL"
"Z3.3.A.01","40-59 years",2670,1744,65.3,1505,56.4,83.2,75.6,"THREE HILLS/HIGHWAY 21","CENTRAL"
"Z3.3.A.01","60-74 years",2007,1612,80.3,1469,73.2,92,88.4,"THREE HILLS/HIGHWAY 21","CENTRAL"
"Z3.3.A.01","75+ years",997,811,81.3,771,77.3,92.4,90.6,"THREE HILLS/HIGHWAY 21","CENTRAL"
"Z3.3.A.01","ALL years",10816,6110,56.5,5229,48.3,70.8,62.9,"THREE HILLS/HIGHWAY 21","CENTRAL"
"Z3.3.A.02","12-19 years",1126,723,64.2,570,50.6,76.3,64.5,"STARLAND COUNTY/DRUMHELLER","CENTRAL"
"Z3.3.A.02","12+ years",10333,8174,79.1,6992,67.7,83.2,74,"STARLAND COUNTY/DRUMHELLER","CENTRAL"
"Z3.3.A.02","20-39 years",2844,2086,73.3,1625,57.1,74.9,63.3,"STARLAND COUNTY/DRUMHELLER","CENTRAL"
"Z3.3.A.02","40-59 years",3100,2395,77.3,2027,65.4,83.2,75.6,"STARLAND COUNTY/DRUMHELLER","CENTRAL"
"Z3.3.A.02","60-74 years",2316,2062,89,1891,81.7,92,88.4,"STARLAND COUNTY/DRUMHELLER","CENTRAL"
"Z3.3.A.02","75+ years",947,884,93.3,868,91.7,92.4,90.6,"STARLAND COUNTY/DRUMHELLER","CENTRAL"
"Z3.3.A.02","ALL years",11802,8174,69.3,6992,59.2,70.8,62.9,"STARLAND COUNTY/DRUMHELLER","CENTRAL"
"Z3.3.A.04","12-19 years",341,165,48.4,129,37.8,76.3,64.5,"PLANNING & SPECIAL AREA 2","CENTRAL"
"Z3.3.A.04","12+ years",3232,2165,67,1843,57,83.2,74,"PLANNING & SPECIAL AREA 2","CENTRAL"
"Z3.3.A.04","20-39 years",776,428,55.1,291,37.5,74.9,63.3,"PLANNING & SPECIAL AREA 2","CENTRAL"
"Z3.3.A.04","40-59 years",959,634,66.1,536,55.9,83.2,75.6,"PLANNING & SPECIAL AREA 2","CENTRAL"
"Z3.3.A.04","60-74 years",781,594,76,556,71.2,92,88.4,"PLANNING & SPECIAL AREA 2","CENTRAL"
"Z3.3.A.04","75+ years",374,338,90.3,327,87.3,92.4,90.6,"PLANNING & SPECIAL AREA 2","CENTRAL"
"Z3.3.A.04","ALL years",3648,2165,59.4,1843,50.5,70.8,62.9,"PLANNING & SPECIAL AREA 2","CENTRAL"
"Z3.3.B.03","12-19 years",1183,598,50.5,444,37.5,76.3,64.5,"STETTLER & COUNTY","CENTRAL"
"Z3.3.B.03","12+ years",10670,6994,65.5,6055,56.7,83.2,74,"STETTLER & COUNTY","CENTRAL"
"Z3.3.B.03","20-39 years",3021,1510,50,1131,37.4,74.9,63.3,"STETTLER & COUNTY","CENTRAL"
"Z3.3.B.03","40-59 years",3021,1988,65.8,1725,57.1,83.2,75.6,"STETTLER & COUNTY","CENTRAL"
"Z3.3.B.03","60-74 years",2312,1877,81.2,1770,76.5,92,88.4,"STETTLER & COUNTY","CENTRAL"
"Z3.3.B.03","75+ years",1131,998,88.2,972,85.9,92.4,90.6,"STETTLER & COUNTY","CENTRAL"
"Z3.3.B.03","ALL years",12520,6994,55.9,6055,48.4,70.8,62.9,"STETTLER & COUNTY","CENTRAL"
"Z3.3.B.05","12-19 years",666,329,49.4,237,35.6,76.3,64.5,"CASTOR/CORONATION/CONSORT","CENTRAL"
"Z3.3.B.05","12+ years",5266,3303,62.7,2875,54.6,83.2,74,"CASTOR/CORONATION/CONSORT","CENTRAL"
"Z3.3.B.05","20-39 years",1389,681,49,514,37,74.9,63.3,"CASTOR/CORONATION/CONSORT","CENTRAL"
"Z3.3.B.05","40-59 years",1520,914,60.1,782,51.5,83.2,75.6,"CASTOR/CORONATION/CONSORT","CENTRAL"
"Z3.3.B.05","60-74 years",1173,942,80.3,923,78.7,92,88.4,"CASTOR/CORONATION/CONSORT","CENTRAL"
"Z3.3.B.05","75+ years",518,420,81.1,411,79.4,92.4,90.6,"CASTOR/CORONATION/CONSORT","CENTRAL"
"Z3.3.B.05","ALL years",6160,3303,53.6,2875,46.7,70.8,62.9,"CASTOR/CORONATION/CONSORT","CENTRAL"
"Z3.4.A.01","12-19 years",3849,2216,57.6,1567,40.7,76.3,64.5,"WETASKIWIN COUNTY","CENTRAL"
"Z3.4.A.01","12+ years",27993,19899,71.1,16825,60.1,83.2,74,"WETASKIWIN COUNTY","CENTRAL"
"Z3.4.A.01","20-39 years",8372,4922,58.8,3683,44,74.9,63.3,"WETASKIWIN COUNTY","CENTRAL"
"Z3.4.A.01","40-59 years",7865,5824,74.1,4974,63.2,83.2,75.6,"WETASKIWIN COUNTY","CENTRAL"
"Z3.4.A.01","60-74 years",5542,4675,84.3,4414,79.6,92,88.4,"WETASKIWIN COUNTY","CENTRAL"
"Z3.4.A.01","75+ years",2365,2155,91.1,2128,90,92.4,90.6,"WETASKIWIN COUNTY","CENTRAL"
"Z3.4.A.01","ALL years",33715,19899,59,16825,49.9,70.8,62.9,"WETASKIWIN COUNTY","CENTRAL"
"Z3.4.B.02","12-19 years",1197,612,51.1,474,39.6,76.3,64.5,"PONOKA","CENTRAL"
"Z3.4.B.02","12+ years",10503,7208,68.6,6256,59.6,83.2,74,"PONOKA","CENTRAL"
"Z3.4.B.02","20-39 years",3182,1747,54.9,1349,42.4,74.9,63.3,"PONOKA","CENTRAL"
"Z3.4.B.02","40-59 years",2983,2177,73,1882,63.1,83.2,75.6,"PONOKA","CENTRAL"
"Z3.4.B.02","60-74 years",2142,1784,83.3,1680,78.4,92,88.4,"PONOKA","CENTRAL"
"Z3.4.B.02","75+ years",998,871,87.3,861,86.3,92.4,90.6,"PONOKA","CENTRAL"
"Z3.4.B.02","ALL years",12399,7208,58.1,6256,50.5,70.8,62.9,"PONOKA","CENTRAL"
"Z3.4.B.03","12-19 years",890,416,46.8,304,34.2,76.3,64.5,"RIMBEY","CENTRAL"
"Z3.4.B.03","12+ years",8661,5387,62.2,4645,53.6,83.2,74,"RIMBEY","CENTRAL"
"Z3.4.B.03","20-39 years",2214,953,43.1,707,31.9,74.9,63.3,"RIMBEY","CENTRAL"
"Z3.4.B.03","40-59 years",2474,1454,58.8,1193,48.2,83.2,75.6,"RIMBEY","CENTRAL"
"Z3.4.B.03","60-74 years",2174,1758,80.9,1663,76.5,92,88.4,"RIMBEY","CENTRAL"
"Z3.4.B.03","75+ years",910,783,86.1,764,84,92.4,90.6,"RIMBEY","CENTRAL"
"Z3.4.B.03","ALL years",10013,5387,53.8,4645,46.4,70.8,62.9,"RIMBEY","CENTRAL"
"Z3.4.B.04","12-19 years",2417,1358,56.2,1047,43.3,76.3,64.5,"LACOMBE","CENTRAL"
"Z3.4.B.04","12+ years",19927,13747,69,11955,60,83.2,74,"LACOMBE","CENTRAL"
"Z3.4.B.04","20-39 years",6112,3451,56.5,2692,44,74.9,63.3,"LACOMBE","CENTRAL"
"Z3.4.B.04","40-59 years",5814,4138,71.2,3645,62.7,83.2,75.6,"LACOMBE","CENTRAL"
"Z3.4.B.04","60-74 years",3945,3284,83.2,3112,78.9,92,88.4,"LACOMBE","CENTRAL"
"Z3.4.B.04","75+ years",1639,1449,88.4,1419,86.6,92.4,90.6,"LACOMBE","CENTRAL"
"Z3.4.B.04","ALL years",23417,13747,58.7,11955,51.1,70.8,62.9,"LACOMBE","CENTRAL"
"Z3.5.A.01","12-19 years",2723,1862,68.4,1515,55.6,76.3,64.5,"CAMROSE & COUNTY","CENTRAL"
"Z3.5.A.01","12+ years",26001,20367,78.3,18175,69.9,83.2,74,"CAMROSE & COUNTY","CENTRAL"
"Z3.5.A.01","20-39 years",7569,5029,66.4,4093,54.1,74.9,63.3,"CAMROSE & COUNTY","CENTRAL"
"Z3.5.A.01","40-59 years",7205,5672,78.7,5006,69.5,83.2,75.6,"CAMROSE & COUNTY","CENTRAL"
"Z3.5.A.01","60-74 years",5568,4939,88.7,4776,85.8,92,88.4,"CAMROSE & COUNTY","CENTRAL"
"Z3.5.A.01","75+ years",2937,2757,93.9,2709,92.2,92.4,90.6,"CAMROSE & COUNTY","CENTRAL"
"Z3.5.A.01","ALL years",30125,20367,67.6,18175,60.3,70.8,62.9,"CAMROSE & COUNTY","CENTRAL"
"Z3.5.B.02","12-19 years",725,415,57.2,330,45.5,76.3,64.5,"TOFIELD","CENTRAL"
"Z3.5.B.02","12+ years",6696,4847,72.4,4228,63.1,83.2,74,"TOFIELD","CENTRAL"
"Z3.5.B.02","20-39 years",1797,1112,61.9,888,49.4,74.9,63.3,"TOFIELD","CENTRAL"
"Z3.5.B.02","40-59 years",2038,1481,72.7,1255,61.6,83.2,75.6,"TOFIELD","CENTRAL"
"Z3.5.B.02","60-74 years",1527,1303,85.3,1240,81.2,92,88.4,"TOFIELD","CENTRAL"
"Z3.5.B.02","75+ years",609,521,85.6,506,83.1,92.4,90.6,"TOFIELD","CENTRAL"
"Z3.5.B.02","ALL years",7797,4847,62.2,4228,54.2,70.8,62.9,"TOFIELD","CENTRAL"
"Z3.5.B.03","12-19 years",211,126,59.6,107,50.6,76.3,64.5,"VIKING","CENTRAL"
"Z3.5.B.03","12+ years",2078,1519,73.1,1363,65.6,83.2,74,"VIKING","CENTRAL"
"Z3.5.B.03","20-39 years",497,323,65,262,52.7,74.9,63.3,"VIKING","CENTRAL"
"Z3.5.B.03","40-59 years",582,406,69.7,363,62.3,83.2,75.6,"VIKING","CENTRAL"
"Z3.5.B.03","60-74 years",504,411,81.5,386,76.5,92,88.4,"VIKING","CENTRAL"
"Z3.5.B.03","75+ years",283,247,87.1,242,85.4,92.4,90.6,"VIKING","CENTRAL"
"Z3.5.B.03","ALL years",2351,1519,64.6,1363,58,70.8,62.9,"VIKING","CENTRAL"
"Z3.5.B.04","12-19 years",818,499,61,423,51.7,76.3,64.5,"FLAGSTAFF COUNTY","CENTRAL"
"Z3.5.B.04","12+ years",7364,5521,75,4896,66.5,83.2,74,"FLAGSTAFF COUNTY","CENTRAL"
"Z3.5.B.04","20-39 years",1831,1113,60.8,877,47.9,74.9,63.3,"FLAGSTAFF COUNTY","CENTRAL"
"Z3.5.B.04","40-59 years",2121,1554,73.3,1354,63.8,83.2,75.6,"FLAGSTAFF COUNTY","CENTRAL"
"Z3.5.B.04","60-74 years",1767,1581,89.5,1498,84.8,92,88.4,"FLAGSTAFF COUNTY","CENTRAL"
"Z3.5.B.04","75+ years",827,756,91.4,733,88.6,92.4,90.6,"FLAGSTAFF COUNTY","CENTRAL"
"Z3.5.B.04","ALL years",8426,5521,65.5,4896,58.1,70.8,62.9,"FLAGSTAFF COUNTY","CENTRAL"
"Z3.5.C.05","12-19 years",548,351,64,291,53.1,76.3,64.5,"MD OF PROVOST","CENTRAL"
"Z3.5.C.05","12+ years",4184,3034,72.5,2611,62.4,83.2,74,"MD OF PROVOST","CENTRAL"
"Z3.5.C.05","20-39 years",1229,726,59.1,537,43.7,74.9,63.3,"MD OF PROVOST","CENTRAL"
"Z3.5.C.05","40-59 years",1260,942,74.8,820,65.1,83.2,75.6,"MD OF PROVOST","CENTRAL"
"Z3.5.C.05","60-74 years",772,669,86.6,632,81.8,92,88.4,"MD OF PROVOST","CENTRAL"
"Z3.5.C.05","75+ years",374,332,88.7,324,86.6,92.4,90.6,"MD OF PROVOST","CENTRAL"
"Z3.5.C.05","ALL years",4860,3034,62.4,2611,53.7,70.8,62.9,"MD OF PROVOST","CENTRAL"
"Z3.5.C.06","12-19 years",1253,848,67.7,698,55.7,76.3,64.5,"MD OF WAINWRIGHT","CENTRAL"
"Z3.5.C.06","12+ years",10015,7725,77.1,6805,67.9,83.2,74,"MD OF WAINWRIGHT","CENTRAL"
"Z3.5.C.06","20-39 years",3184,2117,66.5,1761,55.3,74.9,63.3,"MD OF WAINWRIGHT","CENTRAL"
"Z3.5.C.06","40-59 years",2952,2357,79.8,2050,69.4,83.2,75.6,"MD OF WAINWRIGHT","CENTRAL"
"Z3.5.C.06","60-74 years",1855,1666,89.8,1588,85.6,92,88.4,"MD OF WAINWRIGHT","CENTRAL"
"Z3.5.C.06","75+ years",771,696,90.3,681,88.4,92.4,90.6,"MD OF WAINWRIGHT","CENTRAL"
"Z3.5.C.06","ALL years",11915,7725,64.8,6805,57.1,70.8,62.9,"MD OF WAINWRIGHT","CENTRAL"
